"","x","y","key","Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"54",60.83,215.02,"sntl_834","Truckee #2",834,"California","SNOTEL","Placer",6509,39.30087,-120.18407,160501020204,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.8,89,95,91,100,100,60,66,0,50,21,19,"",12.2,11.4,11.84,10.8,2.3,26.2,"2018","2017",41
"55",69.67,244.97,"sntl_846","Virginia Lakes Ridge",846,"California","SNOTEL","Mono",9400,38.07298,-119.23433,160503010103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8,68,71,70,73,100,40,46,-2.9,38,27,16,"",11.8,11.3,11.36,10.9,1.1,27,"1991","2017",43
"56",304.56,301.7,"sntl_303","Apishapa",303,"Colorado","SNOTEL","Huerfano",10000,37.33062,-105.06749,110200060406,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.9,88,98,90,96,100,58,62,-0.2,48,22,20,"",5.6,5,5.46,5.1,0,13.7,"1981","2008",41
"57",289.87,233.83,"sntl_1030","Arapaho Ridge",1030,"Colorado","SNOTEL","Grand",10960,40.35098,-106.35098,140100010604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.7,90,96,89,91,100,54,54,-1.4,44,11,9,"",15.2,14.3,15.31,15.1,10.2,21.5,"2003","2011",19
"58",301.29,235.9,"sntl_322","Bear Lake",322,"Colorado","SNOTEL","Larimer",9500,40.31176,-105.6467,101900060201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.1,87,91,83,87,100,44,46,-1.4,35,27,15,"",10.5,10,10.95,10.5,5.7,20.4,"2002","2017",41
"59",278.4,238.9,"sntl_1061","Bear River",1061,"Colorado","SNOTEL","Routt",9080,40.06153,-107.00955,140500010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.3,78,85,83,82,100,52,52,-1.4,19,14,4,"",8.1,7.4,7.56,7.7,5.4,10,"2012, 2013","2011",17
"60",263.96,288.86,"sntl_327","Beartown",327,"Colorado","SNOTEL","Mineral",11600,37.71409,-107.51212,130100010104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.1,83,80,86,82,100,51,55,-2.9,39,24,16,"",15.8,16.4,15.21,16,5.4,30.7,"1990","1997",39
"61",285.44,249.87,"sntl_1041","Beaver Ck Village",1041,"Colorado","SNOTEL","Eagle",8500,39.59917,-106.51142,140100030301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.2,62,62,65,63,100,42,44,-3.05,12,16,2,"2nd Lowest",8.4,8.4,8.03,8.25,4.8,11,"2018","2009",18
"62",298.01,246.72,"sntl_335","Berthoud Summit",335,"Colorado","SNOTEL","Grand",11300,39.80392,-105.77789,140100010202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.5,88,89,86,86,98,46,45,-1.7,26,32,12,"",11.9,11.8,12.21,12.2,6.9,18.5,"1981","1984",43
"63",271.94,244.66,"sntl_345","Bison Lake",345,"Colorado","SNOTEL","Garfield",10880,39.76487,-107.35681,140100011401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.7,75,82,77,84,100,47,49,-2.7,20,29,8,"",18.2,16.8,17.74,16.4,9.9,29.9,"2018","1986",36
"64",252.83,285.8,"sntl_1185","Black Mesa",1185,"Colorado","SNOTEL","Dolores",11580,37.78972,-108.18365,140300020103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.2,NA,NA,72,74,100,39,40,-3.5,13,8,2,"2nd Lowest",NA,NA,14.19,13.7,5.8,25.1,"2018","2017",9
"65",302.29,223.34,"sntl_1161","Black Mountain",1161,"Colorado","SNOTEL","Larimer",8920,40.888,-105.66397,101900070501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.5,NA,NA,77,72,100,44,44,-2.1,10,10,2,"2nd Lowest",NA,NA,7.1,7.6,4.6,8.5,"2013","2016",11
"66",283.7,260.93,"sntl_369","Brumley",369,"Colorado","SNOTEL","Lake",10600,39.08766,-106.5417,110200010101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.7,100,108,95,100,100,55,59,0,55,19,21,"",6.7,6.2,7.02,6.7,2.8,12.1,"1981","1984, 1997",41
"67",291.33,257.01,"sntl_938","Buckskin Joe",938,"Colorado","SNOTEL","Park",11150,39.3035,-106.11307,101900010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.8,81,87,77,77,100,38,38,-1.45,29,16,7,"",5.9,5.5,6.23,6.25,2.8,9.4,"2002","2006",22
"68",285.59,236.05,"sntl_913","Buffalo Park",913,"Colorado","SNOTEL","Grand",9240,40.22861,-106.59528,140100010706,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.3,86,93,82,85,100,55,56,-1.5,28,19,7,"",9.6,8.9,10.13,9.8,5.1,15.1,"2002","2014",26
"69",268.25,241.79,"sntl_378","Burro Mountain",378,"Colorado","SNOTEL","Rio Blanco",9400,39.87505,-107.59853,140500050302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.6,67,70,70,72,100,41,44,-2.9,17,35,8,"",11.4,10.8,10.86,10.5,5,22.3,"1981","1997",42
"70",276.39,264.35,"sntl_380","Butte",380,"Colorado","SNOTEL","Gunnison",10160,38.89433,-106.953,140200010206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.1,81,86,83,87,100,51,55,-1.2,35,27,14,"",10,9.4,9.82,9.3,4.1,18.1,"1990","2017",41
"71",258.83,289.62,"sntl_386","Cascade",386,"Colorado","SNOTEL","San Juan",8880,37.65083,-107.80602,140801040201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.2,63,63,62,65,100,42,42,-3.3,21,34,10,"",9.9,9.8,10.01,9.5,1,22.3,"1981","1979",43
"72",258.9,289.47,"sntl_387","Cascade #2",387,"Colorado","SNOTEL","San Juan",8920,37.658,-107.80268,140801040201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.6,60,76,64,68,97,47,54,-2.6,20,25,7,"",9.3,7.4,8.73,8.2,0.9,28.2,"2018","1997",31
"73",282.67,256.97,"sntl_1101","Chapman Tunnel",1101,"Colorado","SNOTEL","Pitkin",10110,39.26217,-106.62931,140100040504,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.1,NA,NA,83,76,100,52,53,-2.5,31,10,5,"",NA,NA,9.79,10.6,5,15.1,"2013","2008",14
"74",280.51,280.91,"sntl_1059","Cochetopa Pass",1059,"Colorado","SNOTEL","Saguache",10020,38.16283,-106.59883,130100040203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.9,134,144,116,115,98,82,80,0.5,69,6,12,"",2.9,2.7,3.36,3.4,1.5,5.3,"2018","2020",17
"75",285.85,232.42,"sntl_408","Columbine",408,"Colorado","SNOTEL","Jackson",9160,40.3948,-106.60408,101800010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.3,84,87,83,87,100,55,57,-2.1,28,30,12,"",17,16.5,17.16,16.4,7.1,26.7,"1981","1996",41
"76",251.26,271.74,"sntl_409","Columbine Pass",409,"Colorado","SNOTEL","Montrose",9400,38.41795,-108.38249,140200050202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.5,68,75,69,76,100,46,47,-2.7,18,29,7,"",12.5,11.4,12.31,11.2,3,21.7,"2018","1993",35
"77",254.55,293.69,"sntl_904","Columbus Basin",904,"Colorado","SNOTEL","La Plata",10785,37.44147,-108.02445,140801050101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.6,52,59,57,59,100,36,37,-6.7,15,23,4,"",18.3,16.3,16.74,16.3,5.3,33.5,"2018","2005",27
"78",302.34,238.29,"sntl_412","Copeland Lake",412,"Colorado","SNOTEL","Boulder",8600,40.20778,-105.56861,101900050202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.2,80,86,74,81,100,55,54,-0.75,31,28,12,"",4,3.7,4.32,3.95,1.6,9.3,"1981, 1995","2017",40
"79",290.8,252.87,"sntl_415","Copper Mountain",415,"Colorado","SNOTEL","Summit",10550,39.48954,-106.17095,140100020302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.2,85,92,84,90,100,48,47,-0.9,33,29,14,"",9.6,8.9,9.8,9.1,4.2,15.9,"1991","1997",43
"80",277.88,236.51,"sntl_426","Crosho",426,"Colorado","SNOTEL","Rio Blanco",9100,40.16745,-107.0575,140500010106,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.2,75,81,74,73,97,47,50,-2.3,24,27,9,"",8.3,7.7,8.43,8.5,5,14.7,"2018","1996",35
"81",302.05,304.12,"sntl_430","Culebra #2",430,"Colorado","SNOTEL","Costilla",10500,37.20945,-105.19959,130100020902,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.8,137,139,135,140,100,83,83,3.4,80,9,34,"",8.6,8.5,8.76,8.4,3,15.6,"1981","2017",42
"82",280.23,306.05,"sntl_431","Cumbres Trestle",431,"Colorado","SNOTEL","Conejos",10040,37.01878,-106.45179,130201020203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",16.3,88,87,90,96,100,58,59,-0.6,45,23,19,"",18.5,18.7,18.03,16.9,4.3,35.6,"1990","2008",41
"83",300.38,224.96,"sntl_438","Deadman Hill",438,"Colorado","SNOTEL","Larimer",10220,40.80571,-105.76993,101900070502,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.5,99,95,93,91,100,49,48,-1.1,33,29,15,"",10.6,11,11.29,11.6,5,17.1,"2003","1996",43
