"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1981_2010_Average","Percent_NRCS_1981_2010_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1981_2010_Average_inches","NRCS_1981_2010_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Apishapa",303,"Colorado","SNOTEL","Huerfano",10000,37.33062,-105.06749,110200060406,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.9,88,98,90,96,100,58,62,-0.2,48,22,20,"",5.6,5,5.46,5.1,0,13.7,"1981","2008",41
"Arapaho Ridge",1030,"Colorado","SNOTEL","Grand",10960,40.35098,-106.35098,140100010604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.7,90,96,89,91,100,54,54,-1.4,44,11,9,"",15.2,14.3,15.31,15.1,10.2,21.5,"2003","2011",19
"Arbuckle Mtn",304,"Oregon","SNOTEL","Morrow",5770,45.19085,-119.25392,170702020604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.8,84,89,89,91,100,58,61,-1.1,40,26,18,"",14.1,13.3,13.33,12.9,6.3,26,"2005","1983",43
"Atlanta Summit",306,"Idaho","SNOTEL","Elmore",7580,43.7569,-115.23907,170501110204,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",17.8,89,88,88,91,100,59,63,-1.7,38,25,15,"",20.1,20.3,20.21,19.5,10.5,41,"1991","1997",40
"Badger Pass",307,"Montana","SNOTEL","Pondera",6900,48.13088,-113.02317,100302010201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",23.9,108,116,108,109,100,65,70,1.9,66,15,28,"",22.1,20.6,22.15,22,11.9,35.4,"2001","1990, 1999",42
"Baker Butte",308,"Arizona","SNOTEL","Gila",7300,34.4566,-111.40643,150602030206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.3,86,86,99,116,80,62,64,0.6,60,17,25,"",5,5,4.35,3.7,0,13.8,"2006, 2015, 2018, more","2010",41
"Baker Butte Smt",1140,"Arizona","SNOTEL","Coconino",7700,34.45547,-111.38272,150602030103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.4,NA,NA,99,97,NA,65,65,-0.3,45,7,5,"",NA,NA,8.45,8.7,1.6,19.6,"2018","2010",12
"Bald Mtn.",309,"Wyoming","SNOTEL","Big Horn",9380,44.8007,-107.84442,100800100501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",12.3,95,102,94,96,100,53,54,-0.5,45,24,20,"",13,12.1,13.07,12.8,7.8,20.8,"2016","1990",43
"Baldy",310,"Arizona","SNOTEL","Apache",9125,33.97883,-109.50344,150200010203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0.1,1,1,2,2,5,1,1,-6.1,5,39,3,"",6.9,7.2,6.23,6.2,0,14.3,"2000, 2006","1985",41
"Banfield Mountain",311,"Montana","SNOTEL","Lincoln",5600,48.5712,-115.44573,170101011202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.6,89,94,86,93,100,59,63,-0.9,37,34,20,"",13.1,12.3,13.5,12.5,4.5,24.6,"1977","1974",53
"Banner Summit",312,"Idaho","SNOTEL","Boise",7040,44.30342,-115.23447,170501200202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.9,90,92,90,95,100,60,58,-0.9,38,26,16,"",17.7,17.3,17.68,16.8,8.6,32.3,"2001","1997",41
"Bar M",1212,"Arizona","SNOTEL","Coconino",6393,34.86136,-111.60503,150602020601,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.4,NA,NA,227,480,62,75,64,1.9,88,2,8,"2nd Highest",NA,NA,1.06,0.5,0,3.6,"2015, 2018, 2020, more","2016",9
"Barker Lakes",313,"Montana","SNOTEL","Deer Lodge",8250,46.09713,-113.13038,170102010304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.5,104,109,102,106,100,53,56,0.5,63,16,27,"",9.1,8.7,9.27,9,6.1,15.1,"2000, 2005","2018",42
"Base Camp",314,"Wyoming","SNOTEL","Teton",7060,43.94019,-110.44544,170401010304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",12.8,101,107,99,102,100,71,78,0.2,55,19,22,"",12.7,12,12.95,12.6,6.5,24.7,"2001","1997",41
"Basin Creek",315,"Montana","SNOTEL","Silver Bow",7180,45.79737,-112.52047,170102010201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.1,82,84,79,82,100,40,41,-0.9,25,31,9,"",5,4.9,5.18,5,2.4,8.4,"1991","1995",41
"Bateman",316,"New Mexico","SNOTEL","Rio Arriba",9300,36.51174,-106.31543,130201020901,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.1,71,71,74,76,98,48,50,-1.9,24,32,10,"",8.6,8.6,8.25,8,2,16.3,"2018","1984",42
"Battle Mountain",317,"Wyoming","SNOTEL","Carbon",7440,41.05413,-107.26609,140500030109,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.2,74,78,77,81,100,51,50,-1.5,20,29,8,"",8.4,8,8.08,7.7,3.5,14.1,"1987, 2018","1997",36
"Beagle Springs",318,"Montana","SNOTEL","Beaverhead",8850,44.47147,-112.98191,100200010501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.6,79,84,78,84,100,42,42,-0.9,17,36,6,"",5.8,5.5,5.88,5.5,2.9,9.9,"1981","1997",43
"Bear Basin",319,"Idaho","SNOTEL","Adams",5350,44.95222,-116.14293,170602100104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",12.6,101,109,103,109,100,70,71,1,63,16,26,"",12.5,11.6,12.26,11.6,5.2,21.2,"1991","1997",41
"Bear Canyon",320,"Idaho","SNOTEL","Custer",7900,43.74367,-113.93797,170402180101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.7,79,81,80,83,100,48,53,-1.6,32,28,14,"",9.7,9.5,9.64,9.3,3.2,21.2,"1987","1997",41
"Bear Creek",321,"Nevada","SNOTEL","Elko",8040,41.83384,-115.45278,170501020301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.1,66,67,69,69,100,41,43,-4.1,20,34,9,"",13.8,13.5,13.24,13.2,5.4,23.8,"1987","1984",42
"Bear Grass",1166,"Oregon","SNOTEL","Linn",4720,44.3253,-122.0938,170900040203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",29,NA,NA,107,101,100,63,58,0.4,56,5,6,"",NA,NA,27.09,28.6,0,47.5,"2015","2017",10
"Bear Lake",322,"Colorado","SNOTEL","Larimer",9500,40.31176,-105.6467,101900060201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.1,87,91,83,87,100,44,46,-1.4,35,27,15,"",10.5,10,10.95,10.5,5.7,20.4,"2002","2017",41
"Bear Mountain",323,"Idaho","SNOTEL","Bonner",5400,48.30577,-116.07448,170102131202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",33.5,82,86,89,91,100,57,58,-3.3,41,24,17,"",40.8,39,37.8,36.8,17.9,66.9,"2001","1999",40
"Bear River",1061,"Colorado","SNOTEL","Routt",9080,40.06153,-107.00955,140500010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.3,78,85,83,82,100,52,52,-1.4,19,14,4,"",8.1,7.4,7.56,7.7,5.4,10,"2012, 2013","2011",17
"Bear River RS",992,"Utah","SNOTEL","Summit",8777,40.8852,-110.8277,160101010106,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.2,NA,NA,63,71,100,41,42,-1.7,0,11,1,"Lowest",NA,NA,6.66,5.9,4.2,11,"2021","2011",11
"Bear Saddle",324,"Idaho","SNOTEL","Washington",6180,44.60533,-116.98097,170501241001,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",17.7,106,101,107,105,100,78,74,0.85,59,17,24,"",16.7,17.6,16.5,16.85,7.2,26.7,"2014","1999",40
"Bear Trap Meadow",325,"Wyoming","SNOTEL","Johnson",8200,43.88743,-107.06135,100902010205,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4,105,108,94,105,98,57,60,0.2,57,18,23,"",3.8,3.7,4.25,3.8,2.2,7.3,"1987","2014",41
"Beartooth Lake",326,"Wyoming","SNOTEL","Park",9360,44.94307,-109.56743,100700060206,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",16.3,103,109,101,104,100,62,65,0.7,60,17,24,"",15.8,15,16.18,15.6,8.5,30.2,"2001","2018",41
"Beartown",327,"Colorado","SNOTEL","Mineral",11600,37.71409,-107.51212,130100010104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.1,83,80,86,82,100,51,55,-2.9,39,24,16,"",15.8,16.4,15.21,16,5.4,30.7,"1990","1997",39
"Beaver Ck Village",1041,"Colorado","SNOTEL","Eagle",8500,39.59917,-106.51142,140100030301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.2,62,62,65,63,100,42,44,-3.05,12,16,2,"2nd Lowest",8.4,8.4,8.03,8.25,4.8,11,"2018","2009",18
"Beaver Creek",328,"Montana","SNOTEL","Gallatin",7850,44.94966,-111.35852,100200070402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.1,75,75,73,73,100,44,45,-3.4,19,45,8,"",12.2,12.1,12.52,12.5,7,24.3,"1977","1997",55
"Beaver Dams",329,"Utah","SNOTEL","Sanpete",7990,39.13683,-111.55813,160300040402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.5,63,69,63,67,98,42,45,-2.2,18,34,7,"",7.2,6.5,7.15,6.7,2.6,14.3,"1987","1984",41
"Beaver Divide",330,"Utah","SNOTEL","Summit",8280,40.61233,-111.09782,160202030105,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.8,47,49,45,49,95,31,35,-4,0,43,1,"Lowest",8.1,7.7,8.42,7.8,3.8,16.8,"2021","2017",43
"Beaver Head",902,"Arizona","SNOTEL","Greenlee",7990,33.69144,-109.21657,150601010107,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",0,0,0,0,0,0,0,0,-1.9,15,23,1,"Lowest",4.3,3.5,2.48,1.9,0,10.5,"2017, 2018, 2021, more","2010",27
"Beaver Pass",990,"Washington","SNOTEL","Whatcom",3630,48.8793,-121.2555,171100050605,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",36.6,130,147,131,124,100,92,83,7.05,89,3,18,"",28.1,24.9,27.94,29.55,10.9,39.6,"2005","2007",20
"Beaver Reservoir",331,"Oregon","SNOTEL","Union",5150,45.14532,-118.219,170601040301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.8,87,93,89,91,97,59,60,-0.7,38,26,14,"",7.8,7.3,7.65,7.5,1.9,13.5,"1981","1998",41
"Beaver Spring",1143,"Arizona","SNOTEL","Apache",9200,36.32678,-109.05711,140802040401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.8,NA,NA,56,55,NA,41,44,-3.05,18,10,3,"",NA,NA,6.79,6.85,0.2,12.5,"2018","2010",12
"Ben Lomond Peak",332,"Utah","SNOTEL","Weber",7689,41.37603,-111.94405,160201020302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",17.8,65,62,68,71,100,44,47,-7.2,29,31,13,"",27.2,28.6,26.35,25,8.7,61.8,"1992","1997",43
"Ben Lomond Trail",333,"Utah","SNOTEL","Weber",5972,41.38291,-111.92103,160201020302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10,64,69,68,70,100,50,52,-4.2,30,29,12,"",15.6,14.5,14.71,14.2,2.8,28.5,"2018","1984, 1997",41
"Berry Creek",334,"Nevada","SNOTEL","White Pine",9377,39.31917,-114.62278,160600081301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.4,62,66,65,67,100,34,38,-3.2,28,30,12,"",10.3,9.7,9.83,9.6,3.9,25.6,"1987, 2012","2005",41
"Berthoud Summit",335,"Colorado","SNOTEL","Grand",11300,39.80392,-105.77789,140100010202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.5,88,89,86,86,98,46,45,-1.7,26,32,12,"",11.9,11.8,12.21,12.2,6.9,18.5,"1981","1984",43
"Bettles Field",1182,"Alaska","SNOTEL","Yukon-Koyukuk",640,66.91667,-151.53333,190901012604,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.9,80,80,79,81,100,54,57,-0.9,38,26,16,"",4.9,4.9,4.96,4.8,1.3,11.8,"1996","1993",41
"Bevans Cabin",1214,"Utah","SNOTEL","Tooele",6520,40.46182,-112.25233,160203040401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.6,NA,NA,44,43,96,32,34,-3.5,25,7,3,"",NA,NA,5.94,6.1,1.9,9.8,"2015","2019",9
"Big Bend",336,"Nevada","SNOTEL","Elko",6898,41.76168,-115.6931,170501040104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",4.6,64,66,65,64,100,46,45,-2.6,24,33,11,"",7.2,7,7.09,7.2,2.2,13.5,"1987","1984",43
"Big Creek Sum",337,"Nevada","SNOTEL","Lander",8685,39.29148,-117.11506,160401070303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.7,76,81,78,81,100,43,45,-2.1,32,28,14,"",11.5,10.7,11.12,10.8,2.6,24.6,"2012","1984",41
"Big Creek Summit",338,"Idaho","SNOTEL","Valley",6560,44.62621,-115.79561,170602080402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",20.3,91,89,93,94,100,61,62,-1.3,46,22,19,"",22.4,22.7,21.73,21.6,12,35.5,"2001","1997",40
"Big Flat",339,"Utah","SNOTEL","Beaver",10349,38.30183,-112.35672,160300070202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.3,44,45,44,47,100,24,27,-6,5,41,3,"",12.1,11.9,12.02,11.3,3.6,20.3,"2018","2011",43
"Big Goose",931,"Wyoming","SNOTEL","Sheridan",7990,44.57924,-107.20068,100901010103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5,91,91,94,96,100,47,50,-0.2,36,15,8,"",5.5,5.5,5.3,5.2,3,7.5,"2016","2012",23
"Big Meadow",340,"Nevada","SNOTEL","Washoe",8235,39.455,-119.9422,160501020505,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",11.1,78,76,77,76,100,48,52,-3.55,41,23,16,"",14.3,14.7,14.42,14.65,3.4,38.4,"1991","2017",38
"Big Red Mountain",341,"Oregon","SNOTEL","Jackson",6050,42.05257,-122.85487,171003090301,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.4,75,75,82,82,100,49,49,-3.2,35,27,15,"",19.2,19.1,17.46,17.6,2.7,38.8,"2014","1983",41
"Big Sandy Opening",342,"Wyoming","SNOTEL","Sublette",9080,42.6458,-109.25965,140401040101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.5,71,75,70,73,100,45,47,-2.35,15,34,5,"",9.2,8.7,9.23,8.85,5,17,"1981","2017",40
"Bigelow Camp",343,"Oregon","SNOTEL","Josephine",5130,42.07875,-123.34393,171003090105,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.3,85,98,95,104,100,56,62,0.35,54,19,22,"",10.9,9.5,9.83,8.95,0,27.3,"1991, 2015","2008",40
"Billie Creek Divide",344,"Oregon","SNOTEL","Klamath",5280,42.40717,-122.26617,180102030201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.8,86,89,95,100,100,70,69,0,50,22,22,"",18.4,17.8,16.56,15.8,0.1,30.2,"2015","1989",43
"Bird Creek",1155,"Nevada","SNOTEL","White Pine",7537,39.46138,-114.64863,160600081304,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2,NA,NA,75,67,100,55,57,-1,33,7,4,"",NA,NA,2.68,3,0,5,"2015, 2018","2016",10
"Bison Lake",345,"Colorado","SNOTEL","Garfield",10880,39.76487,-107.35681,140100011401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",13.7,75,82,77,84,100,47,49,-2.7,20,29,8,"",18.2,16.8,17.74,16.4,9.9,29.9,"2018","1986",36
"Bisson Creek",346,"Montana","SNOTEL","Lake",4920,47.68389,-113.99901,170102120602,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",6.3,89,90,90,98,100,59,64,-0.1,45,17,13,"",7.1,7,6.98,6.4,3.4,15.2,"2005","1997",30
"Black Bear",347,"Montana","SNOTEL","Gallatin",8170,44.50832,-111.12803,100200070202,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",21.2,77,80,78,83,100,50,51,-4.35,16,42,8,"",27.7,26.4,27.11,25.55,9.4,58.2,"1977","1997",50
"Black Flat-U.M. Ck",348,"Utah","SNOTEL","Sevier",9414,38.6799,-111.59765,140700030101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.6,88,98,86,94,100,52,57,-0.35,46,22,18,"",6.4,5.7,6.52,5.95,2.5,12.7,"1991","1997",40
"Black Mesa",1185,"Colorado","SNOTEL","Dolores",11580,37.78972,-108.18365,140300020103,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.2,NA,NA,72,74,100,39,40,-3.5,13,8,2,"2nd Lowest",NA,NA,14.19,13.7,5.8,25.1,"2018","2017",9
"Black Mountain",1161,"Colorado","SNOTEL","Larimer",8920,40.888,-105.66397,101900070501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.5,NA,NA,77,72,100,44,44,-2.1,10,10,2,"2nd Lowest",NA,NA,7.1,7.6,4.6,8.5,"2013","2016",11
"Black Pine",349,"Montana","SNOTEL","Granite",7210,46.414,-113.43095,170102020203,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",8.3,112,122,103,106,100,64,69,0.5,55,26,31,"",7.4,6.8,8.03,7.8,4,13.2,"1977, 2005","1996",56
"Blackhall Mtn",1119,"Wyoming","SNOTEL","Carbon",9820,41.05616,-106.71384,101800020504,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",18.2,NA,NA,90,96,100,53,53,-0.75,45,7,6,"",NA,NA,20.28,18.95,15.4,29.8,"2012","2017",12
"Blacks Fork Jct",1162,"Utah","SNOTEL","Summit",8869,40.95814,-110.5828,140401070303,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.5,NA,NA,61,69,95,37,37,-1.6,10,10,1,"Lowest",NA,NA,5.74,5.1,3.5,8.8,"2012, 2021","2017",11
"Blacktail Mtn",1144,"Montana","SNOTEL","Flathead",5650,47.98288,-114.3543,170102080302,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.3,NA,NA,81,86,99,52,54,-1.2,0,11,1,"Lowest",NA,NA,8.98,8.5,7.3,14.5,"2021","2011",11
"Blackwater",350,"Wyoming","SNOTEL","Park",9780,44.37667,-109.79333,100800120209,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.6,91,95,87,92,100,50,54,-1.3,33,27,14,"",16.1,15.3,16.69,15.9,8.8,30.8,"2001","1997",40
"Blazed Alder",351,"Oregon","SNOTEL","Clackamas",3650,45.4287,-121.85605,170800010102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",16.6,68,79,74,82,100,47,50,-3.6,33,27,14,"",24.5,21,22.39,20.2,0,60.8,"2015","2008",40
"Blewett Pass",352,"Washington","SNOTEL","Chelan",4240,47.35037,-120.6796,170200110501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.8,84,81,90,91,99,68,68,-1.1,36,26,15,"",12.8,13.3,12.06,11.9,1.3,20.6,"2005","2008",40
"Blind Bull Sum",353,"Wyoming","SNOTEL","Sublette",8650,42.964,-110.60973,140401010402,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.3,84,93,82,92,100,51,55,-1.2,30,29,13,"",17,15.4,17.47,15.5,9.6,34.4,"1992","1997",41
"Blind Park",354,"South Dakota","SNOTEL","Pennington",6890,44.10772,-103.97688,101201100104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",3.9,71,72,71,72,100,48,48,-1.5,17,26,6,"",5.5,5.4,5.45,5.4,2.8,11.3,"2002","1994",31
"Bloody Dick",355,"Montana","SNOTEL","Beaverhead",7600,45.16507,-113.50099,100200011002,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7,84,86,83,82,100,54,55,-1.5,30,32,14,"",8.3,8.1,8.39,8.5,3.4,15.7,"1977","1997",45
"Blue Lakes",356,"California","SNOTEL","Alpine",8067,38.608,-119.92437,180400120101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",15.1,76,76,78,81,100,47,50,-3.5,35,27,15,"",20,19.8,19.31,18.6,4.5,40.8,"1991","2017",41
"Blue Mountain Spring",357,"Oregon","SNOTEL","Grant",5870,44.24767,-118.51722,170501160104,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.4,79,86,84,88,100,60,59,-1.4,38,27,16,"",13.1,12.1,12.36,11.8,5.7,22.4,"2018","2006",43
"Bobs Hollow",1278,"Utah","SNOTEL","Millard",9319,38.94569,-112.15349,160300051401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.5,NA,NA,62,56,100,34,36,-4.4,25,4,2,"2nd Lowest",NA,NA,8.94,9.9,5.1,13.2,"2018","2017",5
"Bogus Basin",978,"Idaho","SNOTEL","Boise",6340,43.76377,-116.09685,170501220201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",18.4,98,110,112,116,100,74,71,2.55,67,8,15,"",18.7,16.7,16.45,15.85,9.4,22.4,"2018","2004",22
"Bone Springs Div",358,"Wyoming","SNOTEL","Sheridan",9350,44.67888,-107.5811,100800100102,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",10.9,101,105,100,102,100,56,58,0.2,55,19,23,"",10.8,10.4,10.9,10.7,6.7,14.9,"2016","1990",41
"Bostetter R.S.",359,"Idaho","SNOTEL","Cassia",7500,42.16442,-114.19272,170402120201,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9,66,80,70,80,100,47,51,-2.3,28,30,11,"",13.7,11.2,12.9,11.3,5,32.1,"1981","1984",41
"Boulder Mountain",360,"Montana","SNOTEL","Meagher",7950,46.5596,-111.28973,100301030501,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",14.6,107,108,105,106,100,64,64,0.8,67,15,28,"",13.7,13.5,13.92,13.8,8.1,20.9,"2005","1997",43
"Bourne",361,"Oregon","SNOTEL","Baker",5850,44.83052,-118.18787,170502030101,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",9.4,75,76,78,81,100,56,58,-2.2,31,30,14,"",12.6,12.3,12.1,11.6,5.5,19.6,"2005, 2018","1983",43
"Bowman Springs",362,"Oregon","SNOTEL","Umatilla",4530,45.36428,-118.46715,170701030401,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",7.8,116,116,116,115,98,84,84,1,71,13,31,"",6.7,6.7,6.74,6.8,0.3,15.3,"2015","1989",43
"Box Canyon",363,"Montana","SNOTEL","Park",6670,45.2719,-110.24903,100700020902,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",5.7,84,90,83,92,98,54,56,-0.5,26,32,11,"",6.8,6.3,6.9,6.2,3.9,13,"2010","1997",43
"Box Creek",364,"Utah","SNOTEL","Sevier",9853,38.50809,-112.01856,160300020106,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",1.7,NA,NA,21,21,85,12,13,-6.45,2,41,2,"2nd Lowest",NA,NA,7.91,8.15,0.9,15.5,"2018","2005",42
"Box Springs",1156,"Utah","SNOTEL","Piute",9228,38.49746,-112.00779,160300020107,"February 11, 2021, end of day ","2-12-2021, 04:46 PM CST",2.9,NA,NA,56,52,100,37,39,-2.7,20,9,3,"",NA,NA,5.18,5.6,2.5,8,"2012","2011",11
